date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-03-15 00:00:00+00:00,2026,3,15,fso126,Mozambique - Offshore Oil Terminal 1,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14 00:00:00+00:00,2026,3,14,port137,Beira,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14 00:00:00+00:00,2026,3,14,port702,Maputo,Mozambique,MOZ,0,1,0,0,1,1,2,0,0,0,0,7530,0,7530,0,39284,0,0,0,39284,39284
2026-03-14 00:00:00+00:00,2026,3,14,port784,Nacala,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14 00:00:00+00:00,2026,3,14,port896,Pemba,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14 00:00:00+00:00,2026,3,14,fso126,Mozambique - Offshore Oil Terminal 1,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 00:00:00+00:00,2026,3,13,port137,Beira,Mozambique,MOZ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1292,0,0,0,0,1292,1292
2026-03-13 00:00:00+00:00,2026,3,13,port702,Maputo,Mozambique,MOZ,1,0,0,1,0,2,2,1016,0,0,1524,0,2540,2540,0,0,0,0,0,0,0
2026-03-13 00:00:00+00:00,2026,3,13,port784,Nacala,Mozambique,MOZ,1,0,1,0,0,2,2,1794,0,1541,0,0,3336,3336,2190,0,1773,0,0,3964,3964
2026-03-13 00:00:00+00:00,2026,3,13,port896,Pemba,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 00:00:00+00:00,2026,3,13,fso126,Mozambique - Offshore Oil Terminal 1,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12 00:00:00+00:00,2026,3,12,port137,Beira,Mozambique,MOZ,0,1,1,0,0,2,2,0,10396,1776,0,0,12173,12173,0,14009,0,0,0,14009,14009
2026-03-12 00:00:00+00:00,2026,3,12,port702,Maputo,Mozambique,MOZ,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12 00:00:00+00:00,2026,3,12,port784,Nacala,Mozambique,MOZ,0,1,0,0,0,1,1,0,5100,0,0,0,5100,5100,0,49592,0,0,0,49592,49592
