date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-03-10 00:00:00+00:00,2026,3,10,port2219,Salif,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port2109,Mokha,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port9,Aden,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port18,Hudaydah (Hodeidah),Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port27,Mukalla,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port2219,Salif,Yemen,YEM,0,1,0,0,0,1,1,0,32537,0,0,0,32537,32537,0,335,0,0,0,335,335
2026-03-09 00:00:00+00:00,2026,3,9,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port2109,Mokha,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port9,Aden,Yemen,YEM,0,0,1,0,0,1,1,0,0,3667,0,0,3667,3667,0,0,295,0,0,295,295
2026-03-08 00:00:00+00:00,2026,3,8,port18,Hudaydah (Hodeidah),Yemen,YEM,0,0,1,0,0,1,1,0,0,4110,0,0,4110,4110,0,0,258,0,0,258,258
2026-03-08 00:00:00+00:00,2026,3,8,port27,Mukalla,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port2219,Salif,Yemen,YEM,0,1,0,0,0,1,1,0,35142,0,0,0,35142,35142,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5315,0,5315
2026-03-08 00:00:00+00:00,2026,3,8,port2109,Mokha,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port9,Aden,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port18,Hudaydah (Hodeidah),Yemen,YEM,0,1,0,0,0,1,1,0,21086,0,0,0,21086,21086,0,670,0,0,0,670,670
2026-03-07 00:00:00+00:00,2026,3,7,port27,Mukalla,Yemen,YEM,1,1,0,0,0,2,2,2543,10588,0,0,0,13131,13131,150,1673,0,0,0,1823,1823
2026-03-07 00:00:00+00:00,2026,3,7,port2219,Salif,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port2109,Mokha,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port9,Aden,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port18,Hudaydah (Hodeidah),Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port27,Mukalla,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2219,Salif,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2109,Mokha,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06 00:00:00+00:00,2026,3,6,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port9,Aden,Yemen,YEM,0,0,0,0,1,0,1,0,0,0,0,17516,0,17516,0,0,0,0,361,0,361
2026-03-05 00:00:00+00:00,2026,3,5,port18,Hudaydah (Hodeidah),Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port27,Mukalla,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2219,Salif,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2263,Ash Shihr,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2264,Rudum Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2245,Ras Isa Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2109,Mokha,Yemen,YEM,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05 00:00:00+00:00,2026,3,5,port2392,Yemen LNG Terminal,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04 00:00:00+00:00,2026,3,4,port9,Aden,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04 00:00:00+00:00,2026,3,4,port18,Hudaydah (Hodeidah),Yemen,YEM,0,0,1,0,0,1,1,0,0,4330,0,0,4330,4330,0,0,0,0,0,0,0
